AEU,Panel,posPanel,fail_Nov,rep_bef_nov,rep_aft_nov
284,R02-C2,28,0,0,0
285,R02-C2,29,0,1,0
286,R02-C2,30,1,0,1
287,R02-C2,31,1,1,1
288,R02-C2,32,1,0,1
289,R03-C2,1,0,0,0
290,R03-C2,2,0,0,1
291,R03-C2,3,0,0,0
292,R03-C2,4,0,0,0
293,R03-C2,5,1,0,1
294,R03-C2,6,0,0,0
295,R03-C2,7,0,0,0
296,R03-C2,8,0,0,0
297,R03-C2,9,1,0,1
298,R03-C2,10,0,0,0
299,R03-C2,11,1,0,1
300,R03-C2,12,1,0,1
301,R03-C2,13,1,0,1
302,R03-C2,14,0,0,0
303,R03-C2,15,1,0,1
304,R03-C2,16,0,0,0
305,R03-C2,17,0,0,0
306,R03-C2,18,0,0,0
307,R03-C2,19,0,0,0
308,R03-C2,20,0,0,0
309,R03-C2,21,0,0,0
310,R03-C2,22,0,0,0
311,R03-C2,23,0,0,0
312,R03-C2,24,0,0,0
313,R03-C2,25,0,0,1
314,R03-C2,26,1,0,0
315,R03-C2,27,1,0,1
316,R03-C2,28,1,0,0
317,R03-C2,29,1,0,1
318,R03-C2,30,0,0,0
319,R03-C2,31,0,0,1
320,R03-C2,32,0,0,0
321,R04-C2,1,1,0,1
322,R04-C2,2,0,1,0
323,R04-C2,3,0,0,0
324,R04-C2,4,1,0,1
325,R04-C2,5,1,0,1
326,R04-C2,6,0,1,0
327,R04-C2,7,0,0,0
328,R04-C2,8,1,0,1
329,R04-C2,9,0,0,1
330,R04-C2,10,0,0,1
331,R04-C2,11,0,0,0
332,R04-C2,12,0,0,0
333,R04-C2,13,1,1,1
334,R04-C2,14,1,0,1
335,R04-C2,15,0,1,0
336,R04-C2,16,1,1,1
337,R04-C2,17,0,0,1
338,R04-C2,18,0,0,1
339,R04-C2,19,0,0,1
340,R04-C2,20,1,0,1
341,R04-C2,21,1,0,1
342,R04-C2,22,1,0,1
343,R04-C2,23,1,1,1
344,R04-C2,24,0,0,0
345,R04-C2,25,0,0,0
346,R04-C2,26,0,0,0
347,R04-C2,27,1,1,1
348,R04-C2,28,0,0,0
349,R04-C2,29,0,1,0
350,R04-C2,30,0,0,0
351,R04-C2,31,0,0,0
352,R04-C2,32,0,0,0
353,R05-C2,1,0,0,0
354,R05-C2,2,0,0,0
355,R05-C2,3,0,0,0
356,R05-C2,4,0,0,0
357,R05-C2,5,0,0,0
358,R05-C2,6,0,0,0
359,R05-C2,7,0,0,0
360,R05-C2,8,0,0,0
361,R05-C2,9,0,0,1
362,R05-C2,10,0,0,0
363,R05-C2,11,0,0,0
364,R05-C2,12,0,0,0
365,R05-C2,13,0,0,0
366,R05-C2,14,0,0,0
367,R05-C2,15,0,0,0
368,R05-C2,16,0,0,0
369,R05-C2,17,0,0,0
370,R05-C2,18,0,0,0
371,R05-C2,19,0,0,0
372,R05-C2,20,0,0,0
373,R05-C2,21,0,0,1
374,R05-C2,22,0,0,0
375,R05-C2,23,0,0,0
376,R05-C2,24,1,0,0
377,R05-C2,25,0,0,0
378,R05-C2,26,0,0,0
379,R05-C2,27,0,0,0
380,R05-C2,28,0,0,0
381,R05-C2,29,0,0,0
382,R05-C2,30,0,0,0
383,R05-C2,31,0,0,0
384,R05-C2,32,0,0,0
385,R06-C2,1,0,0,0
386,R06-C2,2,1,0,1
387,R06-C2,3,0,0,0
388,R06-C2,4,0,0,0
389,R06-C2,5,0,0,1
390,R06-C2,6,0,0,0
391,R06-C2,7,0,0,0
392,R06-C2,8,1,1,0
393,R06-C2,9,0,0,0
394,R06-C2,10,0,1,0
395,R06-C2,11,0,1,0
396,R06-C2,12,1,0,1
397,R06-C2,13,0,0,0
398,R06-C2,14,0,1,0
399,R06-C2,15,0,0,0
400,R06-C2,16,1,0,1
401,R06-C2,17,1,0,1
402,R06-C2,18,1,0,1
403,R06-C2,19,0,1,0
404,R06-C2,20,0,0,1
405,R06-C2,21,1,1,0
406,R06-C2,22,1,0,1
407,R06-C2,23,1,0,1
408,R06-C2,24,1,0,1
409,R06-C2,25,0,1,0
410,R06-C2,26,0,1,0
411,R06-C2,27,0,0,1
412,R06-C2,28,0,0,1
413,R06-C2,29,0,0,1
414,R06-C2,30,0,0,0
415,R06-C2,31,0,1,0
416,R06-C2,32,1,0,1
417,R07-C2,1,1,1,1
418,R07-C2,2,1,1,1
419,R07-C2,3,0,0,0
420,R07-C2,4,1,1,1
421,R07-C2,5,0,0,0
422,R07-C2,6,0,0,0
423,R07-C2,7,0,0,0
424,R07-C2,8,0,0,0
425,R07-C2,9,1,1,1
426,R07-C2,10,0,1,0
427,R07-C2,11,0,1,1
428,R07-C2,12,1,1,1
429,R07-C2,13,0,1,0
430,R07-C2,14,0,0,0
431,R07-C2,15,0,0,0
432,R07-C2,16,0,0,0
433,R07-C2,17,1,1,1
434,R07-C2,18,0,0,0
435,R07-C2,19,0,0,0
436,R07-C2,20,0,0,0
437,R07-C2,21,0,1,0
438,R07-C2,22,0,0,0
439,R07-C2,23,0,0,0
440,R07-C2,24,0,0,0
441,R07-C2,25,0,1,1
442,R07-C2,26,0,1,0
443,R07-C2,27,1,1,1
444,R07-C2,28,0,0,0
445,R07-C2,29,0,0,0
446,R07-C2,30,0,0,1
447,R07-C2,31,0,0,0
448,R07-C2,32,0,0,0
